t,l,EEG Fp1_Delta.dB,EEG Fp1_Alpha.dB,EEG F3_Delta.dB,EEG F3_Alpha.dB,EEG C3_Delta.dB,EEG C3_Alpha.dB,EEG P3_Delta.dB,EEG P3_Alpha.dB,EEG O1_Delta.dB,EEG O1_Alpha.dB,EEG F7_Delta.dB,EEG F7_Alpha.dB,EEG T3_Delta.dB,EEG T3_Alpha.dB,EEG T5_Delta.dB,EEG T5_Alpha.dB,EEG Fc1_Delta.dB,EEG Fc1_Alpha.dB,EEG Fc5_Delta.dB,EEG Fc5_Alpha.dB,EEG Cp1_Delta.dB,EEG Cp1_Alpha.dB,EEG Cp5_Delta.dB,EEG Cp5_Alpha.dB,EEG F9_Delta.dB,EEG F9_Alpha.dB,EEG Fz_Delta.dB,EEG Fz_Alpha.dB,EEG Cz_Delta.dB,EEG Cz_Alpha.dB,EEG Pz_Delta.dB,EEG Pz_Alpha.dB,EEG Fp2_Delta.dB,EEG Fp2_Alpha.dB,EEG F4_Delta.dB,EEG F4_Alpha.dB,EEG C4_Delta.dB,EEG C4_Alpha.dB,EEG P4_Delta.dB,EEG P4_Alpha.dB,EEG O2_Delta.dB,EEG O2_Alpha.dB,EEG F8_Delta.dB,EEG F8_Alpha.dB,EEG T4_Delta.dB,EEG T4_Alpha.dB,EEG T6_Delta.dB,EEG T6_Alpha.dB,EEG Fc2_Delta.dB,EEG Fc2_Alpha.dB,EEG Fc6_Delta.dB,EEG Fc6_Alpha.dB,EEG Cp2_Delta.dB,EEG Cp2_Alpha.dB,EEG Cp6_Delta.dB,EEG Cp6_Alpha.dB,EEG F10_Delta.dB,EEG F10_Alpha.dB
0.0,1,-76.41265601045467,-91.54415345019379,-78.48726168861111,-91.15090995140876,-75.00163605771041,-94.23184028614625,-73.80169923324083,-93.588434902599,-72.40763958761883,-92.51799162727485,-72.29012724020001,-88.83897519817282,-72.74108256087517,-92.37909661655912,-73.19062634488022,-91.51673764972826,-76.51622773663877,-95.01465227593073,-74.24394263615356,-93.16406553658348,-74.69082547588802,-94.50080918073121,-73.86987221131635,-92.88649256936449,-70.3648607546844,-89.79562488043535,-85.24719634956503,-97.14911517460817,-76.15469920742612,-94.67564809053351,-74.8345814373539,-94.31776760383512,-71.48181165270897,-89.59957947118538,-82.52575090071808,-90.6017221911958,-78.08927757261556,-95.43035434171422,-75.75900262010065,-93.65863980564114,-73.37014655632355,-92.91220430277679,-70.80457296942825,-88.3791893410607,-78.74185400335773,-92.80805851805215,-74.68924441696326,-92.26848435954827,-78.33469319619488,-95.77218639219181,-84.10401940467548,-95.3513497251245,-75.77250552902328,-94.27442325844385,-76.70299927433132,-93.71698465360409,-80.71121833231565,-91.50492773063255
2.0,1,-69.31206437409381,-86.51694253766051,-78.34414831315482,-89.13896931407146,-73.26938558428843,-94.596584613356,-71.50847594519335,-93.02238485820612,-69.92257927409982,-91.78992136354965,-71.05920906861678,-89.79738124905722,-71.75210804394582,-91.73733571386586,-70.51156580226032,-92.14783459176799,-74.05269788147473,-94.93762242678379,-74.16958807684044,-94.69366943298219,-71.79660866422496,-93.20669813679963,-71.98389939000552,-92.88594177817265,-69.69655233338864,-90.8402694825177,-81.62353213081978,-95.43216925059247,-72.3654781639878,-94.60861511924848,-70.83388685056929,-92.63887923069363,-70.79161330381825,-90.52819422595499,-77.44972715338766,-89.50216502045974,-71.41189612409896,-91.83699599526848,-70.880663481247,-90.78818472909458,-70.42832104186994,-89.99960262376302,-71.24089928858021,-87.46589782065612,-71.48137063431386,-87.5788149260294,-70.38047824442498,-88.3374254461607,-73.22465152480746,-93.54238723992027,-73.24788037940746,-91.02501761039463,-71.5270836592508,-92.75171263032036,-71.11413564111614,-88.77655541071678,-69.62561484615978,-89.4769184819235
4.0,1,-71.91171890969801,-89.13579411828509,-81.25377705347844,-90.08490408964875,-73.3203913235877,-93.32662761135657,-72.01224500846187,-91.49947681851668,-69.8338616102638,-88.48560381834787,-79.38505700593896,-90.24105523424551,-73.95815652377811,-93.72237430939022,-72.37226110227148,-90.11572832891467,-74.04753969250966,-94.0032164316611,-75.68042746403106,-94.58211531551937,-72.22195665689392,-92.65554038462234,-72.84386643641483,-92.89968519517488,-73.55106151495279,-91.49496972083831,-81.48217993588402,-95.63391415586337,-73.81301312221643,-93.38950385769687,-71.86391736092406,-92.17568151209565,-71.25621881678227,-88.88413592557279,-79.90723763072009,-90.53235503799924,-74.92736209138104,-92.74413339242314,-71.57898337534282,-91.46755631157752,-70.18320439914645,-89.23001822085547,-74.29062759463076,-90.85352474186087,-72.54888161697616,-90.75252836325872,-70.50994307135588,-88.2484259839145,-75.21830702640061,-93.20212495601854,-74.35344798762426,-91.59953465655471,-72.94881910193992,-92.7697204745773,-72.15402384805016,-91.06812747759697,-68.23311095902538,-87.20462809507801
6.0,1,-73.07774125586613,-88.63070040723525,-80.36346270308539,-89.37029088219461,-73.70497709532161,-90.56115233502413,-72.28954103548801,-90.35392568331406,-63.83593771934162,-87.0656040539503,-72.31777725008865,-93.51652767391957,-72.62380439721395,-93.07545347410473,-72.76699141275753,-90.20255012409197,-74.50023689981052,-93.96117679617353,-74.25741701556686,-94.07620492791466,-72.77366395723178,-92.15239193189909,-73.08297122128431,-92.21626228796248,-70.80893021089368,-91.84293453567683,-80.86319051267884,-93.48595862922667,-73.82226704212053,-93.53981119186459,-72.95312721919939,-92.33698920121525,-72.4629980183327,-88.27385228216413,-80.27669307914691,-88.62378936778684,-75.00047477343193,-92.86786894440702,-73.05161560172186,-92.29355854065567,-71.34556551129924,-90.09886586733616,-70.97012641509734,-92.9994504566335,-73.64192529451081,-89.53487689023319,-72.17179186801243,-89.6448372338697,-75.6154543336392,-92.17511535140345,-74.3904602576894,-93.7261779409924,-74.05779815565228,-92.85563776757357,-73.9757311073864,-92.1787665251206,-69.3721253702017,-90.7977179847247
8.0,1,-75.68406201619229,-92.97680441082073,-80.22370988721951,-92.7346176467551,-78.3699619550306,-93.4864795151791,-77.2862604059346,-92.89986003977033,-74.19142055164289,-91.84517856584975,-70.10095689727018,-88.85902952327629,-74.74351336954955,-93.15955099261498,-75.52569859347449,-92.36352584914846,-79.23922747204718,-94.37322177285756,-76.10094652028897,-93.30805735109604,-77.8139495280489,-93.69129661268515,-76.69873456001704,-93.217832351326,-71.00029427044957,-90.42323230793961,-81.71753025185447,-95.36292993400016,-78.309523269301,-94.78312350984567,-77.33924678279367,-93.06235747827587,-72.25424328634463,-93.19055424437103,-76.22698536444614,-91.25399092424905,-77.5073886890634,-93.82673260560865,-76.1315501817297,-93.10157114586646,-75.50873308976436,-92.1945458930025,-68.07200976241207,-88.80974071610135,-75.95483275289153,-91.60967408089574,-75.22654649787154,-92.26640176773688,-78.80221989939194,-94.41954695847039,-75.98606231432962,-93.80161122215922,-77.13629534757419,-93.85469349311096,-76.29399409593142,-93.12852302581932,-69.49262413723369,-90.68254851405605
10.0,1,-69.99693893411205,-89.56593283574243,-83.09596999054341,-90.33619821790111,-73.58986821623026,-92.52907055400712,-71.77338359467929,-91.66538749551401,-70.84773241584459,-89.63946782068362,-78.46811076762057,-95.74798709398989,-72.55159376425118,-91.79121430182532,-71.03484385163428,-89.32781963331809,-74.6973572350406,-93.29337312462008,-75.5770344249312,-92.8793412820647,-72.32141510363785,-92.46765468874962,-71.81613044999838,-91.4932346174087,-71.23550152024583,-90.44078859014331,-80.53363619783738,-95.90585499502843,-73.19420697392678,-92.90655790781906,-71.58795933970877,-92.10211590389954,-72.86129772150029,-89.96317371932734,-76.3733423509412,-89.62572493353426,-72.37109476118475,-93.02335763358326,-71.22655472594525,-92.36081492921704,-70.89347465800046,-90.07100281810287,-72.41879001725577,-92.96947490942881,-70.3866175646996,-89.86474210121997,-69.9265172672722,-89.7153831294701,-73.61812135883191,-93.4261884222972,-72.02218497504454,-92.29100365001486,-72.15465455346023,-93.02407633832131,-70.8834185072069,-92.05940271250705,-68.74727586464073,-87.97748269098294
12.0,1,-76.33280169089515,-92.45159105229581,-85.22870999511609,-93.96194918377185,-76.58433503114826,-94.04157140249872,-75.61831358270084,-92.64154352531358,-74.19520539093631,-89.50464994099654,-84.9286305303464,-93.51184807940186,-75.54471378751985,-91.72382889706975,-74.61256558722786,-90.86624140570044,-76.43869389243883,-93.81142348827554,-78.08678313663789,-94.10494287280152,-75.9291647206525,-93.48468753076708,-75.70133541166203,-92.39848854797735,-74.71804409492043,-91.04884292730189,-84.60046099560452,-97.08207042206524,-76.52928316685019,-94.61193403203346,-75.33364725653313,-93.00998395003279,-75.4056751565632,-91.66062431328571,-83.28288114359987,-89.7387022825954,-77.09191399225934,-93.53154813761768,-75.0499227997711,-93.22707047672753,-73.74174701419395,-91.0294816315165,-84.43052824333591,-94.31186456783932,-75.19720284830802,-90.8142351524596,-73.55834056817544,-90.58769882771209,-77.90972226715405,-93.76492005373565,-78.06883981360747,-92.62408453683875,-75.99302985413624,-93.64899346830674,-75.16711290805246,-92.70974383284144,-74.36674692255365,-90.76932402110332
14.0,1,-73.47148811099251,-90.08066021739288,-84.0144208521825,-91.39967416198442,-75.55256728025992,-92.98360489732728,-73.6462199738414,-92.44444720024705,-72.60568499957978,-90.28688408207209,-84.9295057084677,-94.49621609506025,-75.33918882017267,-91.45034125835481,-73.36970303579571,-90.4338184512808,-76.48347900824643,-93.61316404029964,-77.74495158330203,-93.17093211796794,-74.33832029357242,-92.4239644685791,-74.64102665790452,-91.52893618216113,-74.63807335178059,-89.87708236580993,-84.23604712692449,-95.97409725828948,-75.13345439288241,-93.63248711290767,-73.96964857300405,-91.85223247024936,-73.12085847558524,-90.87599063829049,-82.95405873888441,-89.68479224259853,-75.48420031026103,-92.86069973527941,-73.96404179245468,-91.43600183043311,-72.89774598023043,-89.26340470022572,-83.68287907728097,-94.65115796882867,-74.7281035761231,-90.11310737061368,-72.83936377256963,-89.79174488559744,-76.57729896050424,-94.07930539753339,-77.59077226297782,-91.89979969644703,-74.51830522227202,-92.17808868123487,-74.23000629683884,-91.06900826906241,-73.96369745355598,-89.14037112584535
16.0,1,-74.84923412370317,-93.6013272800486,-84.31785291539634,-96.38103276158708,-76.42157057469868,-93.22311739960584,-74.4319326067631,-92.62055190606637,-73.8228629909093,-90.76789153556355,-82.07301590257532,-94.46735378487995,-75.38616163552152,-92.59391496276226,-73.67196618948508,-91.2132662283566,-77.51905803250325,-93.92634922906488,-77.80901380290416,-94.09458190790643,-75.3750972890941,-92.86890856590524,-74.77967846615934,-92.76595803371107,-73.94836647619962,-91.04520508309727,-83.56072651150342,-97.80928999908923,-76.19650570432287,-93.15301613856748,-75.10547562769278,-92.37555826723315,-73.28344392362311,-91.80914499663969,-82.7082103694925,-94.6581128694367,-76.05064510618482,-93.38783376680522,-74.6575528658894,-92.30749183824501,-73.84193033224722,-91.02415376390537,-84.7053213510315,-94.10262192168732,-74.58157012972089,-90.13801898231769,-72.92786942417376,-90.0141273842888,-77.7948673545559,-93.7059246165077,-77.2677458603935,-92.72358111610237,-75.4221114076974,-92.31048047325793,-74.43368067730358,-91.60612502105907,-73.22980696020433,-90.7658814493132
18.0,1,-85.469993348434,-96.0923168724955,-92.27957202841752,-96.83971800603061,-85.69387244454614,-97.36390698425316,-85.48890865202338,-96.22427603293801,-84.23941754722776,-93.31389991088622,-83.94545419353895,-96.34980958399453,-85.67486516803827,-96.78587153892549,-84.77729309225577,-94.76152572104864,-89.33128174416825,-98.00797689576369,-89.35657454913323,-97.58890154052308,-85.37513264232594,-97.17766869628389,-85.34265823866298,-95.69134480682685,-84.54640405314075,-96.55528512748228,-89.77507555830373,-98.11104870573777,-87.3631080068414,-97.9780654373792,-84.3762717706924,-97.15380321360799,-83.8377802937371,-96.70892310617837,-88.22518697067686,-94.06289907211234,-86.19074370529127,-95.7711406101779,-83.64537105391221,-96.02212479779078,-83.85249573363437,-92.65615478303582,-82.70051085328232,-95.37400327165776,-83.4511190941391,-92.60214880457124,-81.30771727058247,-94.2607039072198,-85.98543300501662,-97.3641868294055,-84.12208224891629,-96.50058219609605,-83.50619987328,-97.60790207551993,-82.67434969584835,-95.43002121684148,-79.60338179552306,-95.34553023765959
